Original,Closest Match,Similarity Ratio
Zombies Monsters Robots,Zombie Buster VR,0.67
theHunter,Hunter,0.8
Max Payne 2 The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,0.99
Europa Universalis III,Europa Universalis IV,0.93
Arma Cold War Assault,ARMA: Cold War Assault,0.84
Batman Arkham Origins   New Millennium Skins Pack,,0.0
Batman Arkham Origins,Batman™: Arkham Origins,0.95
Deadbreed,DeadCore,0.71
Deadbreed  Undertaker Beta Pack,,0.0
GTR Evolution,BiT Evolution,0.85
Indie Game The Movie,Indie Game: The Movie,0.98
RaceRoom Racing Experience ,RaceRoom Racing Experience,0.98
X Tension,X: Tension,0.95
X2 The Threat,X2: The Threat,0.96
X3 Albion Prelude,Xsyon - Prelude,0.69
X3 Reunion,X3: Reunion,0.95
X3 Terran Conflict,X3: Terran Conflict,0.97
X Beyond the Frontier,X: Beyond the Frontier,0.98
Tom Clancy s Ghost Recon Phantoms   NA,Tom Clancy's Ghost Recon® Wildlands,0.74
War Inc  Battlezone,Wars and Battles: Normandy,0.62
ORION Prelude,ORION: Prelude,0.96
Hotline Miami 2 Wrong Number,Hotline Miami 2: Wrong Number,0.98
Deadpool,Dead,0.67
Counter Strike Condition Zero,Counter-Strike: Condition Zero,0.95
Counter Strike Condition Zero Deleted Scenes,Counter-Strike: Condition Zero,0.76
Mount   Blade Warband,Mount & Blade: Warband,0.93
Tom Clancy s Ghost Recon Phantoms   EU,Tom Clancy's Ghost Recon® Wildlands,0.74
SMITE,SMITE®,0.91
Infinite Crisis,Infinity Trip,0.71
DiggerOnline,Digger Online,0.96
My Lands,My Lady,0.8
Archeblade,ArcheBlade™,0.86
Half Life Blue Shift,Half-Life: Blue Shift,0.93
Half Life Opposing Force,Half-Life: Opposing Force,0.94
Project CARS   Modified Car Pack ,,0.0
Defense Grid The Awakening,Defense Grid: The Awakening,0.98
Cloud Chamber,Choice Chamber,0.74
Ghostbusters The Video Game,Resume: The Video Game,0.73
Portal Stories Mel,Pastelia Stories,0.65
Universe Sandbox,Universe Sandbox ²,0.94
Portal 2   The Final Hours,Titanfall - The Final Hours,0.75
GEARCRACK Arena,,0.0
Mission Control NanoMech,Mission Control: NanoMech,0.98
Defense Grid 2 A Matter of Endurance,Defense Grid: The Awakening,0.6
Sam   Max 101 Culture Shock,,0.0
Back to the Future Ep 2   Get Tannen ,,0.0
Back to the Future Ep 5   OUTATIME,,0.0
Sam   Max 102 Situation Comedy,,0.0
Oozi Earth Adventure,Oozi: Earth Adventure,0.98
Back to the Future Ep 1   It s About Time,,0.0
Back to the Future Ep 4   Double Visions,,0.0
Organ Trail Director s Cut,Organ Trail: Director's Cut,0.94
Back to the Future Ep 3   Citizen Brown,,0.0
Fester Mudd Curse of the Gold   Episode 1,Bestseller: Curse of the Golden Owl,0.63
Atom Zombie Smasher ,Atom Zombie Smasher,0.97
1    2    3    KICK IT   Drop That Beat Like an Ugly Baby ,,0.0
Pixel Puzzles Japan,Pixel Puzzles: Japan,0.97
Leviathan The Last Day of the Decade,Leviathan: The Last Day of the Decade,0.99
Alien Breed 2 Assault,Alien Breed 2: Assault,0.98
Amerzone The Explorer s Legacy,Amerzone: The Explorer’s Legacy,0.95
Defense Grid 2,DG2: Defense Grid 2,0.85
Defense Grid Containment DLC,,0.0
Defense Grid Resurgence Map Pack 1,,0.0
Defense Grid Resurgence Map Pack 2 ,,0.0
Defense Grid Resurgence Map Pack 3,,0.0
Defense Grid Resurgence Map Pack 4,,0.0
Defy Gravity,Beyond Gravity,0.77
Lugaru HD ,Lugaru HD,0.95
Midnight Club II,Midnight Evil,0.69
Oddworld Abe s Oddysee,Oddworld: Abe's Oddysee®,0.91
